Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3378.8,1351.924,1.116,118.657,299.972,632.963,8524.955,8824.517,9107.101,9920.112,0.001
5,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
10,7286,206.542,0.699,63.759,165.633,307.523,452.119,540.338,723.441,1480.266,0.005
15,9690.8,212.335,0.507,64.894,170.191,313.351,461.78,557.167,759.502,1386.698,0.005
20,8867,233.8,0.512,81.451,188.737,348.477,495.254,589.845,776.179,1355.854,0.004
25,8076.2,250.662,0.816,84.202,200.79,378.115,535.971,628.532,823.647,1460.448,0.004
30,5085,433.788,0.798,98.395,232.49,448.697,814.44,2283.078,2685.599,3779.296,0.002
35,6311.6,301.782,0.567,96.665,238.78,450.12,645.656,790.1,1054.466,1878.697,0.003
40,4022.8,508.36,0.6,88.647,252.023,500.894,2305.554,2554.863,2926.807,3739.362,0.002
45,8565.2,237.569,0.509,72.16,190.506,358.337,517.054,613.878,812.536,1425.353,0.004
50,8734.6,239.404,0.57,76.241,186.485,361.425,522.488,624.386,830.552,1369.11,0.004
55,7835,260.603,0.595,86.842,208.512,390.499,555.351,659.082,893.658,1552.644,0.004
60,7041,289.984,0.57,97.922,227.35,436.708,623.067,742.215,982.028,1866.804,0.003
65,6646,378.531,0.731,95.618,241.063,495.163,791.352,1524.876,2013.225,2590.548,0.003
70,4476,368.137,0.872,122.833,279.562,523.473,761.644,887.88,1280.951,6168.152,0.003
75,882.8,2190.812,1.369,102.141,380.046,4702.645,4871.159,4936.274,5073.237,5620.683,0
80,9360.4,219.863,0.524,75.782,178.06,325.077,470.839,562.691,758.502,1280.161,0.005
85,9186.2,224.889,0.513,69.922,177.275,337.307,494.691,593.73,778.112,1473.622,0.004
90,8513.2,240.377,0.748,81.227,193.308,357.713,513.537,612.589,818.768,1409.074,0.004
95,7580.8,520.863,0.577,84.071,218.194,427.641,665.578,1039.325,6008.672,6602.073,0.002
100,62.4,5496.084,1.264,5595.263,5777.532,5982.224,6092.643,6170.891,6362.295,6765.028,0
105,6079.6,306.319,0.786,99.467,251.631,461.943,656.31,776.292,1020.156,1868.519,0.003
110,4721.4,568.374,0.691,91.907,245.227,501.861,915.167,3559.259,3918.61,4487.775,0.002
115,6070.4,228.849,0.68,67.831,182.46,345.811,502.516,598.259,785.201,1403.326,0.004
120,8982.6,228.83,0.643,77.922,187.462,340.047,486.04,579.408,774.286,1617.201,0.004
125,8171,250.1,0.638,81.153,197.886,373.051,541.029,650.62,850.01,1519.976,0.004
130,7731.2,268.534,0.802,94.548,217.585,402.85,570.716,670.77,882.861,1454.624,0.004
135,7111.2,286.209,0.774,89.474,220.999,433.682,623.177,740.627,999.753,2034.616,0.003
140,5468.2,377.617,0.877,99.192,253.547,522.196,885.934,1222.988,1673.8,2659.102,0.003
145,6468.4,315.081,0.643,87.724,244.834,480.13,703.131,844.04,1125.344,2233.48,0.003
150,4929.2,492.511,0.664,92.904,250.359,530.141,939.379,2652.473,2950.103,3625.664,0.002
155,6727.8,243.745,0.497,82.844,197.722,365.635,516.203,618.124,838.1,1634.913,0.004
160,8495.2,240.383,0.547,82.18,195.233,359.517,511.949,606.069,799.84,1322.798,0.004
165,7711.2,267.561,0.932,93.533,209.354,391.797,569.478,694.382,969.433,1704.895,0.004
170,7133.6,292.388,0.776,93.276,228.135,443.204,633.318,755.209,1002.78,1888.973,0.003
175,6992,285.49,0.681,88.747,224.905,431.935,627.847,742.317,976.718,1829.338,0.004
180,6526.8,319.611,0.844,104.55,246.499,484.774,693.238,819.979,1088.168,2007.721,0.003
185,6244,334.573,0.692,100.043,259.729,511.794,735.478,877.16,1180.417,2181.046,0.003
190,2367,1490.333,0.761,89.737,276.265,695.701,7133.323,7318.387,7898.139,8374.962,0.001
195,1965.2,257.476,0.754,96.802,223.463,347.945,538.93,652.114,849.608,1293.235,0.004
200,9159.8,221.648,0.482,75.83,185.345,330.897,469.507,543.375,714.471,1216.237,0.005
205,8642.4,238.814,0.69,77.858,190.962,355.805,516.419,616.794,820.62,1604.37,0.004
210,7855.4,255.973,0.602,86.195,202.886,384.165,550.706,651.991,856.334,1328.438,0.004
215,3835.2,836.28,0.931,109.449,258.87,502.017,5269.376,5516.935,5862.432,6873.203,0.001
220,2969.6,335.964,0.668,106.188,249.674,488.64,697.815,835.299,1155.365,6250.246,0.003
