Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8923,232.852,0.696,77.989,192.798,346.108,491.365,585.133,777.435,2103.941,0.004
5,9051,231.895,0.655,75.327,183.014,348.495,502.933,600.538,784.854,1363.076,0.004
10,8239.4,247.226,0.591,85.834,199.031,367.338,525.108,626.546,836.646,1436.448,0.004
15,7610.2,302.661,0.956,90.506,217.758,403.577,597.433,754.844,1957.753,2699.161,0.003
20,4795,365.569,0.623,111.077,266.111,490.103,749.94,1086.182,1655.166,2647.618,0.003
25,6863.4,307.035,0.564,93.771,244.397,461.497,673.723,805.696,1079.233,2088.231,0.003
30,8145,245.353,0.612,67.034,193.678,374.031,544.715,656.333,876.724,1490.129,0.004
35,8310,248.986,0.546,81.514,199.533,370.699,541.141,641.143,864.972,1628.99,0.004
40,7876.8,256.058,0.543,90.973,212.607,381.6,533.55,632.09,847.931,1620.671,0.004
45,7330.4,284.596,0.621,86.678,225.646,433.186,624.903,737.851,960.406,1683.346,0.004
50,6980.2,295.068,0.886,96.808,237.093,445.531,628.381,739.468,995.54,1681.851,0.003
55,6601.8,312.241,0.751,98.344,245.416,476.825,675.402,796.69,1068.523,1768.282,0.003
60,6025.8,337.789,1.61,117.235,275.678,508.466,704.665,827.001,1100.026,1940.455,0.003
65,6108.8,336.776,0.758,101.758,261.119,513.315,734.579,872.39,1166.767,1938.93,0.003
70,5950.8,339.989,1.158,105.996,268.709,518.079,733.174,868.604,1181.345,2134.474,0.003
75,5505.4,376.482,1.048,120.277,293.363,574.836,807.467,955.483,1271.338,2214.784,0.003
80,5487.8,377.079,0.816,119.521,293.024,578.174,799.104,937.875,1276.772,2496.942,0.003
85,7426,267.936,0.766,80.932,209.392,401.1,586.971,707.64,964.176,1685.191,0.004
90,2712.2,1140.875,1.152,100.068,247.355,526.454,6092.469,6181.116,6345.636,7047.407,0.001
95,3107.2,335.749,1.068,123.589,272.333,504.214,696.291,814.509,1053.217,6333.376,0.003
100,1264,1883.8,0.971,122.512,286.764,5216.788,5537.097,5604.567,5762.733,6270.866,0.001
105,7850.6,209.686,0.536,66.776,170.835,311.464,448.302,549.058,731.516,1225.642,0.005
110,9479.6,217.049,0.546,71.507,178.054,323.929,461.237,553.638,728.902,1248.844,0.005
115,8877.2,232.108,0.631,72.945,186.175,347.218,504.051,600.276,795.784,1535.056,0.004
120,8187.6,254.886,0.58,85.257,204.352,382.766,548.875,647.958,837.756,1498.019,0.004
125,4761.4,566.454,0.97,97.639,243.254,487.643,851.118,3592.179,4031.929,4982.18,0.002
130,6386.6,209.163,0.537,73.574,174.297,305.963,441.547,533.856,706.58,1065.646,0.005
135,9523.2,217.012,0.622,66.671,173.818,326.103,470.837,561.834,748.355,1377.977,0.005
140,9016.6,228.397,0.552,73.957,182.403,343.173,493.89,587.468,782.527,1460.68,0.004
145,8111.2,251.888,0.556,79.638,200.235,381.929,547.469,645.717,853.662,1484.941,0.004
150,7221.2,283.882,0.488,94.356,223.177,417.471,605.588,733.077,1036.828,2178.638,0.004
155,7117.2,291.866,0.633,90.692,230.529,442.075,633.545,756.15,996.865,1696.753,0.003
160,6842.8,295.633,0.581,93.294,232.781,451.724,641.557,757.347,1001.824,1906.901,0.003
165,6372.6,321.794,0.787,101.682,255.566,484.877,688.607,823.156,1095.769,1820.008,0.003
170,4542.6,953.305,0.922,105.066,278.823,576.203,1065.667,7330.452,7754.548,8406.607,0.001
175,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
180,7904.8,224.274,0.544,72.655,181.726,334.602,481.441,575.475,759.605,1403.621,0.004
185,9153.8,224.546,0.568,71.348,182.677,335.371,482.903,569.611,761.456,1249.65,0.004
190,8162.2,251.668,0.659,86.383,200.97,377.43,538.33,643.929,838.675,1399.225,0.004
195,7645.4,269.329,0.689,89.422,219.305,404.161,573.154,683.856,903.391,2111.368,0.004
200,7033.2,289.436,0.621,89.88,227.767,438.122,630.483,751.072,1000.405,1660.527,0.003
205,5080.6,411.012,0.637,106.87,269.826,530.588,944.579,1475.307,1963.644,2857.273,0.002
210,5962.8,345.246,1.009,98.939,268.51,526.475,762.743,910.28,1216.731,2287.107,0.003
215,6025.4,334.163,0.835,103.293,260.914,511.327,725.394,864.54,1134.276,1780.305,0.003
220,2110.6,968.14,0.785,105.883,286.614,645.934,3822.599,4062.788,4376.22,5284.835,0.001
225,8386.4,241.886,0.643,73.361,189.322,360.358,529.571,645.623,871.831,1673.564,0.004
230,8183,250.924,0.677,77.54,195.741,379.266,552.578,662.039,878.118,1788.683,0.004
235,5769,359.438,0.577,96.539,238.938,474.02,778.147,1363.838,1701.474,2374.931,0.003
240,6958.2,290.649,0.732,90.11,229.381,444.164,637.996,745.007,986.593,1571.165,0.003
245,7009,295.111,0.74,98.156,234.772,446.226,635.25,746.006,989.396,1557.593,0.003
250,6447.2,314.027,0.651,103.596,251.245,475.378,666.899,792.368,1039.546,1662.014,0.003
255,3513.4,1345.534,1.078,124.253,296.125,570.649,8956.778,9223.388,9595.745,10934.037,0.001
260,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
265,6026.4,232.073,0.804,76.273,186.405,346.016,500.197,598.451,797.094,1468.776,0.004
270,9619,210.872,0.572,68.73,168.294,309.632,456.537,550.425,748.887,1636.607,0.005
275,8683.6,237.815,0.647,76.797,189.102,355.878,518.693,613.973,806.179,1551.468,0.004
280,7951.2,258.093,0.574,83.859,205.029,390.192,555.482,658.63,868.387,1473.467,0.004
285,7476.8,279.711,0.641,90.243,224.726,418.842,601.409,718.123,955.077,1649.35,0.004
290,6893,291.958,0.719,97.549,231.397,445.121,626.894,735.073,962.76,1828.556,0.003
295,6510.4,316.232,0.611,96.799,251.207,477.239,685.478,824.404,1106.664,2043.577,0.003
300,6381.6,319.407,0.58,90.62,234.219,492.472,716.853,861.93,1155.049,2187.03,0.003
305,6071.8,338.926,0.81,108.055,267.849,512.193,728.893,872.947,1170.282,2188.793,0.003
310,3395.4,663.286,0.8,100.985,272.91,573.217,3092.802,3411.973,3728.172,4414.537,0.002
315,7246.6,253.962,0.725,87.83,207.529,381.511,538.099,633.796,830.151,1486.905,0.004
320,7844,256.062,0.733,84.56,205.702,383.437,552.217,654.107,861.302,1464.62,0.004
325,7095,295.404,0.615,100.709,239.422,443.212,627.687,749.314,979.928,1477.567,0.003
330,2235.2,1702.96,0.835,82.605,254.023,576.685,8171.821,8371.063,8693.583,9712.159,0.001
335,874.4,338.81,0.736,129.071,288.537,513.544,676.217,814.129,1072.269,1674.786,0.003
340,3452.2,1117.765,1.02,96.925,265.383,546.916,7102.652,7331.509,7707.299,8359.001,0.001
345,724.4,268.886,1.197,116.816,250.336,382.608,520.381,632.752,794.444,1250.578,0.004
350,9682.2,212.197,0.732,74.149,178.049,313.707,449.18,532.445,696.963,1375.678,0.005
355,9077.6,225.472,0.503,65.39,178.62,337.654,498.445,596.698,794.894,1632.01,0.004
360,8402.4,245.354,0.487,82.601,197.735,364.501,525.787,629.108,843.628,1567.86,0.004
365,7992.4,254.734,0.518,86.629,201.178,382.116,545.436,648.479,855.823,1652.495,0.004
370,7187.4,291.079,0.588,96.061,236.059,437.304,621.669,741.744,962.782,1700.259,0.003
375,6884.2,296.911,0.744,99.956,237.427,449.01,633.647,749.514,994.172,1814.165,0.003
380,6420.4,325.408,0.758,95.503,255.823,500.636,714.107,842.885,1117.541,1910.512,0.003
385,6209.2,320.83,0.721,101.406,253.463,483.396,697.356,831.379,1101.771,1854.476,0.003
390,6032.8,343.009,0.896,108.492,269.655,526.927,743.311,871.79,1151.763,1931.954,0.003
395,6352.4,318.802,0.641,107.295,251.925,476.924,684.387,820.908,1074.398,1871.399,0.003
400,7744,262.333,0.714,87.913,208.131,390.68,565.524,674.772,897.456,1560.671,0.004
405,6848.6,686.258,0.702,95.613,236.91,473.729,759.071,6863.234,7354.855,7991.861,0.001
410,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
415,4451.2,358.829,0.676,122.122,263.048,480.635,683.496,805.357,1279.406,5465.461,0.003
420,1559.2,1208.802,0.678,130.081,276.61,683.908,4327.556,4425.758,4696.875,5163.924,0.001
425,9330.6,219.89,0.538,65.49,175.625,328.67,481.974,578.648,771.547,1580.439,0.005
